('HP:0000478', 'GO:1904075')
('HP:0001034', 'GO:0090630')
('HP:0001643', 'GO:1904322')
('HP:0005162', 'GO:0060548')
('HP:0006731', 'GO:0051425')
('HP:0000640', 'GO:2001237')
('HP:0005855', 'GO:0070742')
('HP:0000962', 'GO:0034393')
('HP:0030084', 'GO:0098855')
('HP:0002410', 'GO:0043425')
('HP:0012032', 'GO:0034719')
('HP:0001761', 'GO:0070776')
('HP:0001765', 'GO:0051216')
('HP:0005110', 'GO:0034099')
('HP:0003829', 'GO:1904434')
('HP:0001337', 'GO:0001191')
('HP:0011220', 'GO:1900029')
('HP:0006740', 'GO:0001105')
('HP:0001324', 'GO:0030825')
('HP:0002866', 'GO:0019008')
('HP:0000717', 'GO:0021761')
('HP:0000835', 'GO:0001946')
('HP:0002612', 'GO:0033683')
('HP:0000218', 'GO:0050059')
('HP:0011969', 'GO:0034718')
('HP:0008069', 'GO:1900238')
('HP:0000979', 'GO:0098602')
('HP:0011749', 'GO:0006704')
('HP:0002750', 'GO:0046659')
('HP:0100787', 'GO:0031369')
('HP:0010783', 'GO:0006959')
('HP:0004337', 'GO:1901681')
('HP:0007477', 'GO:0033549')
('HP:0000097', 'GO:0046022')
('HP:0008501', 'GO:0006359')
('HP:0000337', 'GO:0051336')
('HP:0002132', 'GO:0098820')
('HP:0000407', 'GO:0043269')
('HP:0000712', 'GO:1905097')
('HP:0000321', 'GO:0019981')
('HP:0001699', 'GO:2000495')
('HP:0000040', 'GO:0044853')
('HP:0004279', 'GO:0006475')
('HP:0000916', 'GO:0034988')
('HP:0000336', 'GO:0006284')
('HP:0003468', 'GO:0010821')
('HP:0002353', 'GO:0030324')
('HP:0000711', 'GO:0006284')
('HP:0001256', 'GO:0035405')
('HP:0000563', 'GO:0048539')
('HP:0000938', 'GO:0044791')
('HP:0006587', 'GO:0043234')
('HP:0010935', 'GO:0033138')
('HP:0004420', 'GO:0005546')
('HP:0002251', 'GO:0043968')
('HP:0003370', 'GO:1990808')
('HP:0006535', 'GO:0042129')
('HP:0001511', 'GO:0071961')
('HP:0001152', 'GO:0005839')
('HP:0002135', 'GO:0098664')
('HP:0000989', 'GO:0034974')
('HP:0009721', 'GO:0071154')
('HP:0000347', 'GO:0036056')
('HP:0008391', 'GO:0005007')
('HP:0006487', 'GO:0070877')
('HP:0007818', 'GO:0042974')
('HP:0000953', 'GO:0016458')
('HP:0000563', 'GO:1904358')
('HP:0000400', 'GO:0047848')
('HP:0000543', 'GO:0034657')
('HP:0030329', 'GO:0005125')
('HP:0005791', 'GO:0072369')
('HP:0010306', 'GO:0002193')
('HP:0002652', 'GO:0051443')
('HP:0000278', 'GO:2000669')
('HP:0012841', 'GO:0043130')
('HP:0000938', 'GO:2001040')
('HP:0003758', 'GO:0034977')
('HP:0000843', 'GO:1900463')
('HP:0009473', 'GO:0033263')
('HP:0002888', 'GO:0007162')
('HP:0002215', 'GO:2001268')
('HP:0000008', 'GO:0016328')
('HP:0001009', 'GO:2000379')
('HP:0000750', 'GO:0099053')
('HP:0000311', 'GO:0043518')
('HP:0005640', 'GO:0030308')
('HP:0000582', 'GO:0051567')
('HP:0000895', 'GO:0044796')
('HP:0001547', 'GO:0070517')
('HP:0007409', 'GO:0031250')
('HP:0001640', 'GO:2000685')
('HP:0002162', 'GO:1905101')
('HP:0004430', 'GO:0071180')
('HP:0001328', 'GO:0044699')
('HP:0000007', 'GO:1902548')
('HP:0000475', 'GO:0004713')
('HP:0000582', 'GO:0034380')
('HP:0001061', 'GO:0010923')
('HP:0004712', 'GO:0008140')
('HP:0001935', 'GO:0032211')
('HP:0009919', 'GO:0006356')
('HP:0009879', 'GO:0061700')
('HP:0001647', 'GO:0006695')
('HP:0003236', 'GO:2001212')
('HP:0001696', 'GO:0005652')
('HP:0001763', 'GO:0023029')
('HP:0001500', 'GO:0008285')
('HP:0001287', 'GO:0070085')
('HP:0004749', 'GO:0008144')
('HP:0004599', 'GO:0016324')
('HP:0001822', 'GO:0033627')
('HP:0200020', 'GO:0005861')
('HP:0001031', 'GO:0036289')
('HP:0001382', 'GO:0071356')
('HP:0005315', 'GO:0000808')
('HP:0006110', 'GO:0050699')
('HP:0000219', 'GO:0097352')
('HP:0003307', 'GO:0003341')
('HP:0001770', 'GO:0030097')
('HP:0009650', 'GO:0035064')
('HP:0004944', 'GO:0032092')
('HP:0009465', 'GO:0033186')
('HP:0001337', 'GO:0035457')
('HP:0000639', 'GO:1903772')
('HP:0002754', 'GO:0098589')
('HP:0000010', 'GO:0034396')
('HP:0000818', 'GO:0070975')
('HP:0000465', 'GO:0045918')
('HP:0008872', 'GO:0052213')
('HP:0010804', 'GO:0007093')
('HP:0002661', 'GO:0017134')
('HP:0006440', 'GO:0043532')
('HP:0007957', 'GO:1902430')
('HP:0007289', 'GO:0071153')
('HP:0007289', 'GO:0071147')
('HP:0000034', 'GO:0038109')
('HP:0002808', 'GO:0048014')
('HP:0012209', 'GO:0001822')
('HP:0003187', 'GO:0046022')
('HP:0009926', 'GO:0030506')
('HP:0001635', 'GO:0071061')
('HP:0012219', 'GO:1990065')
('HP:0001425', 'GO:0002175')
('HP:0100299', 'GO:0019774')
('HP:0001640', 'GO:0033165')
('HP:0000739', 'GO:0061724')
('HP:0010886', 'GO:1900622')
('HP:0000029', 'GO:0033065')
('HP:0100495', 'GO:0009986')
('HP:0003401', 'GO:1900460')
('HP:0001151', 'GO:0051879')
('HP:0006779', 'GO:0042731')
('HP:0002253', 'GO:0060394')
('HP:0002061', 'GO:1900017')
('HP:0003621', 'GO:0070830')
('HP:0000582', 'GO:0017127')
('HP:0004942', 'GO:0034978')
('HP:0002135', 'GO:0016049')
('HP:0100716', 'GO:0030175')
('HP:0100335', 'GO:0030257')
('HP:0000687', 'GO:1990509')
('HP:0000368', 'GO:1904018')
('HP:0001480', 'GO:0006984')
('HP:0007906', 'GO:0005124')
('HP:0001608', 'GO:0045910')
('HP:0004944', 'GO:0005835')
('HP:0200146', 'GO:1990252')
('HP:0001065', 'GO:0043850')
('HP:0003502', 'GO:0035059')
('HP:0008551', 'GO:0006449')
('HP:0002059', 'GO:0052490')
('HP:0002089', 'GO:2000269')
('HP:0000995', 'GO:0004143')
('HP:0003247', 'GO:0070412')
('HP:0007468', 'GO:0005179')
('HP:0000842', 'GO:0016913')
('HP:0002185', 'GO:0044547')
('HP:0000486', 'GO:0004843')
('HP:0000962', 'GO:0050059')
('HP:0001300', 'GO:2000721')
('HP:0000365', 'GO:0035583')
('HP:0001034', 'GO:1904667')
('HP:0003241', 'GO:0042733')
('HP:0010783', 'GO:0031527')
('HP:0000585', 'GO:0030506')
('HP:0002126', 'GO:0035259')
('HP:0100013', 'GO:0006626')
('HP:0000762', 'GO:0043588')
('HP:0000151', 'GO:0030507')
('HP:0100580', 'GO:0071141')
('HP:0001476', 'GO:0031252')
('HP:0004388', 'GO:0070412')
('HP:0005590', 'GO:0006303')
('HP:0009473', 'GO:0070532')
('HP:0001136', 'GO:0009267')
('HP:0002245', 'GO:0006511')
('HP:0011969', 'GO:0042127')
('HP:0030195', 'GO:0097190')
('HP:0001765', 'GO:0008233')
('HP:0100259', 'GO:0030199')
('HP:0007378', 'GO:0042645')
('HP:0009830', 'GO:0070507')
('HP:0002199', 'GO:0016234')
('HP:0001761', 'GO:0090218')
('HP:0000561', 'GO:0000800')
('HP:0001336', 'GO:0097414')
('HP:0003401', 'GO:0060430')
('HP:0000020', 'GO:0040012')
('HP:0002857', 'GO:0042308')
('HP:0003202', 'GO:0071849')
('HP:0001270', 'GO:0031331')
('HP:0000400', 'GO:0072217')
('HP:0009740', 'GO:2000103')
('HP:0000635', 'GO:0005731')
('HP:0008572', 'GO:0005844')
('HP:0012732', 'GO:0000922')
('HP:0006568', 'GO:0048185')
('HP:0003577', 'GO:0004862')
('HP:0000286', 'GO:0006790')
('HP:0002875', 'GO:2001040')
('HP:0001320', 'GO:0031085')
('HP:0008291', 'GO:0039658')
('HP:0006579', 'GO:0006356')
('HP:0009882', 'GO:1902675')
('HP:0000541', 'GO:1902589')
('HP:0000912', 'GO:0009356')
('HP:0004313', 'GO:1904847')
('HP:0001598', 'GO:0035650')
('HP:0001191', 'GO:0004879')
('HP:0001513', 'GO:0003964')
('HP:0030680', 'GO:0047323')
('HP:0010626', 'GO:1903108')
('HP:0001425', 'GO:0061057')
('HP:0011970', 'GO:0043227')
('HP:0001945', 'GO:0032056')
('HP:0100864', 'GO:0034973')
('HP:0002149', 'GO:0035960')
('HP:0100625', 'GO:0035267')
('HP:0002974', 'GO:0046856')
('HP:0001620', 'GO:0005732')
('HP:0000426', 'GO:0021756')
('HP:0001256', 'GO:0006004')
('HP:0000154', 'GO:0048286')
('HP:0001347', 'GO:0019076')
('HP:0002067', 'GO:0008091')
('HP:0003737', 'GO:0006974')
('HP:0003100', 'GO:0045216')
('HP:0003088', 'GO:0042805')
('HP:0001155', 'GO:0070129')
('HP:0004798', 'GO:0000347')
('HP:0001879', 'GO:1990311')
('HP:0009888', 'GO:1990631')
('HP:0003256', 'GO:0043167')
('HP:0009804', 'GO:0043850')
('HP:0001187', 'GO:0035375')
('HP:0000365', 'GO:0070303')
('HP:0000546', 'GO:0044545')
('HP:0008800', 'GO:0019980')
('HP:0002907', 'GO:0043409')
('HP:0000648', 'GO:0031698')
('HP:0012732', 'GO:0042493')
('HP:0005026', 'GO:0006355')
('HP:0002149', 'GO:0048286')
('HP:0002938', 'GO:0010575')
('HP:0000765', 'GO:0043401')
('HP:0000474', 'GO:0061819')
('HP:0002546', 'GO:0030274')
('HP:0000499', 'GO:0035385')
('HP:0010675', 'GO:0001515')
('HP:0009237', 'GO:0048189')
('HP:0100615', 'GO:1990424')
('HP:0003487', 'GO:0016913')
('HP:0002961', 'GO:0044615')
('HP:0000035', 'GO:0045005')
('HP:0000848', 'GO:0033613')
('HP:0200134', 'GO:0005958')
('HP:0002682', 'GO:0016324')
('HP:0003383', 'GO:0031519')
('HP:0002652', 'GO:0007049')
('HP:0002322', 'GO:0016458')
('HP:0001882', 'GO:1903078')
('HP:0000969', 'GO:0016573')
('HP:0011710', 'GO:2000811')
('HP:0000316', 'GO:0006750')
('HP:0001582', 'GO:1904280')
('HP:0012763', 'GO:0070169')
('HP:0005978', 'GO:2000146')
('HP:0007556', 'GO:0005856')
('HP:0000384', 'GO:0072669')
('HP:0000311', 'GO:0032456')
('HP:0001959', 'GO:0019221')
('HP:0005144', 'GO:0005811')
('HP:0100820', 'GO:0003007')
('HP:0004390', 'GO:0008584')
('HP:0001639', 'GO:0006631')
('HP:0000851', 'GO:0016480')
('HP:0008873', 'GO:0042026')
('HP:0004565', 'GO:0020022')
('HP:0000444', 'GO:0030154')
('HP:0002299', 'GO:2000685')
('HP:0011875', 'GO:0032302')
('HP:0000142', 'GO:0044227')
('HP:0009239', 'GO:0045668')
('HP:0003022', 'GO:0002250')
('HP:0100625', 'GO:0030018')
('HP:0010751', 'GO:0050679')
('HP:0000912', 'GO:0001946')
('HP:0002017', 'GO:0034704')
('HP:0001212', 'GO:0043125')
('HP:0000613', 'GO:0048854')
('HP:0009465', 'GO:1901227')
('HP:0030424', 'GO:0070678')
('HP:0002987', 'GO:0061425')
('HP:0010112', 'GO:0010673')
('HP:0001513', 'GO:0036019')
('HP:0010104', 'GO:0008140')
('HP:0000238', 'GO:0071395')
('HP:0000164', 'GO:0045046')
('HP:0007899', 'GO:0004871')
('HP:0001332', 'GO:1900112')
('HP:0001788', 'GO:0005113')
('HP:0011734', 'GO:0017134')
('HP:0001967', 'GO:0003151')
('HP:0007787', 'GO:0070411')
('HP:0011364', 'GO:0016597')
('HP:0100533', 'GO:0009967')
('HP:0003022', 'GO:0035012')
('HP:0002206', 'GO:1900461')
('HP:0002897', 'GO:1990706')
('HP:0000126', 'GO:1905312')
('HP:0007420', 'GO:1900524')
('HP:0003165', 'GO:1990477')
('HP:0004322', 'GO:0034061')
('HP:0006753', 'GO:0070744')
('HP:0005113', 'GO:0006513')
('HP:0000010', 'GO:0016006')
('HP:0001347', 'GO:0086063')
('HP:0011108', 'GO:0000177')
('HP:0000243', 'GO:0034741')
('HP:0000488', 'GO:0036398')
('HP:0000958', 'GO:0006264')
('HP:0002067', 'GO:0043550')
('HP:0001305', 'GO:0000246')
('HP:0100578', 'GO:0006749')
('HP:0000224', 'GO:0051117')
('HP:0001894', 'GO:0048273')
('HP:0000348', 'GO:1901297')
('HP:0001371', 'GO:0008921')
('HP:0001539', 'GO:0003689')
('HP:0007987', 'GO:0051039')
('HP:0100769', 'GO:0032766')
('HP:0002669', 'GO:2000236')
('HP:0000767', 'GO:0097012')
('HP:0001260', 'GO:1904043')
('HP:0001264', 'GO:0044329')
('HP:0005315', 'GO:1990131')
('HP:0003196', 'GO:0034809')
('HP:0100585', 'GO:0098857')
('HP:0003074', 'GO:0061358')
('HP:0000023', 'GO:0018420')
